id,pillar,category,family,habit,level,minutes,cue,identity
74,spiritual,reflection,spiritual:reflection,Write one line in a journal,1,2,End of the day,someone who reflects
75,spiritual,nature,spiritual:nature,Look up at the sky for a moment,1,1,When you step outside,someone who notices wonder
76,spiritual,meaning,spiritual:meaning,Set one gentle intention for the day,1,2,With your morning drink,someone who lives on purpose
77,spiritual,mindfulness,spiritual:mindfulness,Put your hand on your heart and pause,1,1,In a stressful moment,someone kind to themselves
78,spiritual,gratitude,spiritual:gratitude,Write 3 things you're grateful for,2,3,Before bed,someone who counts their blessings
79,spiritual,mindfulness,spiritual:mindfulness,Meditate for 3 minutes,2,3,After you wake,someone who tends their mind
80,spiritual,nature,spiritual:nature,Step outside and notice 5 things,2,5,Mid-day,someone present in the world
81,spiritual,reflection,spiritual:reflection,Reflect on one thing that went well,2,3,End of the day,someone who honors small wins
82,spiritual,meaning,spiritual:meaning,Read a short passage that inspires you,2,5,Morning or night,someone who feeds their spirit
83,spiritual,mindfulness,spiritual:mindfulness,Meditate for 10 minutes,3,10,Morning,someone with a calm mind
84,spiritual,reflection,spiritual:reflection,Journal about how you're really feeling,3,10,Evening,someone honest with themselves
85,spiritual,nature,spiritual:nature,Take a slow walk with no phone,3,15,After dinner,someone who finds peace outdoors
86,spiritual,meaning,spiritual:meaning,Do a short act of kindness with no reward,3,10,When the chance appears,someone who lives their values
87,spiritual,stillness,spiritual:stillness,Sit quietly and breathe for 15 minutes,4,15,Morning or night,someone who cultivates stillness
88,spiritual,reflection,spiritual:reflection,Write a reflection on your week,4,20,Sunday evening,someone who lives examined
89,spiritual,nature,spiritual:nature,Spend 30 minutes in nature,4,30,Weekend,someone connected to the natural world
90,spiritual,mindfulness,spiritual:mindfulness,Do a 20-minute guided meditation,5,20,Set daily time,someone with a deep practice
91,spiritual,stillness,spiritual:stillness,Take a tech-free hour for reflection,5,60,Weekend morning,someone who protects their inner life
92,spiritual,meaning,spiritual:meaning,Volunteer time toward something meaningful,5,90,Weekend,someone who serves a purpose
